CollectionName,Collection
stream_network,whse_basemapping.fwa_stream_networks_sp
lakes,whse_basemapping.fwa_lakes_poly
transport_lines,whse_basemapping.transport_line
cultural_lines,whse_basemapping.trim_cultural_lines
cultural_points,whse_basemapping.trim_cultural_points
wetlands,whse_basemapping.fwa_wetlands_poly
railway_tracks,whse_basemapping.gba_railway_tracks_sp
transmission_lines,whse_basemapping.gba_transmission_lines_sp
obstructions,whse_basemapping.fwa_obstructions_sp
rivers,whse_basemapping.fwa_rivers_poly
manmade_waterbodies,whse_basemapping.fwa_manmade_waterbodies_poly
named_streams,whse_basemapping.fwa_named_streams